mode,time,pelvis,head
moving,0.070833,0.512357,1.130367
moving,0.075000,0.514135,1.132141
moving,0.079167,0.515912,1.133914
moving,0.083333,0.517576,1.135572
moving,0.087500,0.518217,1.136205
moving,0.091667,0.518858,1.136836
moving,0.095833,0.519498,1.137466
moving,0.100000,0.520139,1.138094
moving,0.104167,0.520780,1.138720
moving,0.108333,0.521420,1.139346
moving,0.112500,0.522061,1.139970
moving,0.116667,0.522409,1.140301
moving,0.120833,0.520083,1.137957
moving,0.125000,0.517758,1.135613
moving,0.129167,0.515432,1.133268
moving,0.133333,0.513107,1.130922
moving,0.137500,0.510781,1.128576
moving,0.141667,0.508456,1.126230
moving,0.145833,0.506130,1.123884
moving,0.150000,0.504810,1.122544
moving,0.154167,0.512664,1.130378
moving,0.158333,0.520518,1.138213
moving,0.162500,0.528372,1.146048
moving,0.166667,0.536226,1.153884
moving,0.170833,0.544080,1.161721
moving,0.175000,0.551934,1.169559
moving,0.179167,0.558239,1.175849
moving,0.183333,0.563701,1.181298
moving,0.187500,0.553971,1.171555
moving,0.191667,0.544396,1.161970
moving,0.195833,0.534666,1.152231
moving,0.200000,0.524725,1.142282
moving,0.204167,0.514638,1.132189
moving,0.208333,0.504509,1.122055
moving,0.212500,0.494413,1.111957
moving,0.216667,0.485536,1.103079
moving,0.220833,0.487364,1.104908
moving,0.225000,0.489192,1.106739
moving,0.229167,0.491020,1.108571
moving,0.233333,0.492848,1.110406
moving,0.237500,0.494675,1.112242
moving,0.241667,0.496503,1.114079
moving,0.245833,0.498331,1.115918
moving,0.250000,0.499573,1.117172
moving,0.254167,0.495457,1.113070
moving,0.258333,0.491342,1.108970
moving,0.262500,0.487227,1.104871
moving,0.266667,0.483112,1.100774
moving,0.270833,0.478996,1.096677
moving,0.275000,0.474881,1.092580
moving,0.279167,0.470766,1.088484
moving,0.283333,0.467141,1.084880
moving,0.287500,0.467996,1.085754
moving,0.291667,0.468850,1.086629
moving,0.295833,0.469705,1.087504
moving,0.300000,0.470559,1.088379
moving,0.304167,0.471413,1.089253
moving,0.308333,0.472268,1.090127
moving,0.312500,0.473122,1.091000
moving,0.316667,0.474255,1.092151
moving,0.320833,0.477931,1.095843
moving,0.325000,0.481606,1.099535
moving,0.329167,0.485282,1.103225
moving,0.333333,0.488957,1.106915
moving,0.337500,0.492633,1.110603
moving,0.341667,0.496309,1.114289
moving,0.345833,0.499984,1.117974
moving,0.350000,0.503472,1.121469
moving,0.354167,0.505249,1.123252
moving,0.358333,0.507026,1.125034
moving,0.362500,0.508803,1.126813
moving,0.366667,0.510580,1.128591
moving,0.370833,0.512357,1.130367
moving,0.375000,0.514134,1.132141
moving,0.379167,0.515912,1.133913
moving,0.383333,0.517576,1.135572
moving,0.387500,0.518217,1.136205
moving,0.391667,0.518858,1.136836
moving,0.395833,0.519498,1.137465
moving,0.400000,0.520139,1.138094
moving,0.404167,0.520779,1.138720
moving,0.408333,0.521420,1.139346
moving,0.412500,0.522061,1.139970
moving,0.416667,0.522409,1.140301
moving,0.420833,0.520083,1.137957
moving,0.425000,0.517758,1.135613
moving,0.429167,0.515432,1.133268
moving,0.433333,0.513106,1.130922
moving,0.437500,0.510781,1.128576
moving,0.441667,0.508456,1.126230
moving,0.445833,0.506130,1.123884
moving,0.450000,0.504810,1.122544
moving,0.454167,0.512664,1.130378
moving,0.458333,0.520518,1.138213
moving,0.462500,0.528372,1.146048
moving,0.466667,0.536226,1.153884
moving,0.470833,0.544080,1.161721
moving,0.475000,0.551934,1.169559
moving,0.479167,0.558314,1.175923
moving,0.483333,0.563761,1.181357
moving,0.487500,0.554007,1.171593
moving,0.491667,0.544358,1.161934
moving,0.495833,0.534540,1.152110
moving,0.500000,0.524566,1.142130
moving,0.504167,0.514533,1.132092
moving,0.508333,0.504508,1.122062
moving,0.512500,0.494538,1.112087
moving,0.516667,0.485536,1.103079
moving,0.520833,0.487364,1.104913
moving,0.525000,0.489192,1.106747
moving,0.529167,0.491020,1.108579
moving,0.533333,0.492847,1.110412
moving,0.537500,0.494675,1.112246
moving,0.541667,0.496503,1.114082
moving,0.545833,0.498331,1.115919
moving,0.550000,0.499573,1.117172
moving,0.554167,0.495457,1.113070
moving,0.558333,0.491342,1.108970
moving,0.562500,0.487227,1.104871
moving,0.566667,0.483112,1.100774
moving,0.570833,0.478996,1.096677
moving,0.575000,0.474881,1.092580
moving,0.579167,0.470766,1.088484
moving,0.583333,0.467141,1.084880
moving,0.587500,0.467996,1.085754
moving,0.591667,0.468850,1.086629
moving,0.595833,0.469705,1.087504
moving,0.600000,0.470559,1.088379
