mode,time,pelvis,head
authored,0.375000,0.448889,1.066435
authored,0.379167,0.446309,1.063858
authored,0.383333,0.443730,1.061282
authored,0.387500,0.441015,1.058573
authored,0.391667,0.438300,1.055864
authored,0.395833,0.435505,1.053077
authored,0.400000,0.432711,1.050291
authored,0.404167,0.429893,1.047483
authored,0.408333,0.427075,1.044675
authored,0.412500,0.424292,1.041904
authored,0.416667,0.421509,1.039133
authored,0.420833,0.418817,1.036454
authored,0.425000,0.416125,1.033775
authored,0.429167,0.413578,1.031243
authored,0.433333,0.411032,1.028712
authored,0.437500,0.408684,1.026379
authored,0.441667,0.406335,1.024046
authored,0.445833,0.404232,1.021959
authored,0.450000,0.402129,1.019872
authored,0.454167,0.400314,1.018075
authored,0.458333,0.398499,1.016277
authored,0.462500,0.397010,1.014804
authored,0.466667,0.395520,1.013331
authored,0.470833,0.394387,1.012213
authored,0.475000,0.393253,1.011095
authored,0.479167,0.392498,1.010356
authored,0.483333,0.391742,1.009616
authored,0.487500,0.391381,1.009270
authored,0.491667,0.391020,1.008924
authored,0.495833,0.391060,1.008977
authored,0.500000,0.391101,1.009030
authored,0.504167,0.391541,1.009483
authored,0.508333,0.391982,1.009936
authored,0.512500,0.392815,1.010779
authored,0.516667,0.393647,1.011621
authored,0.520833,0.394854,1.012836
authored,0.525000,0.396061,1.014051
authored,0.529167,0.397618,1.015614
authored,0.533333,0.399175,1.017177
authored,0.537500,0.401051,1.019056
authored,0.541667,0.402927,1.020935
authored,0.545833,0.405082,1.023092
authored,0.550000,0.407238,1.025249
authored,0.554167,0.409630,1.027640
authored,0.558333,0.412022,1.030030
authored,0.562500,0.414602,1.032607
authored,0.566667,0.417182,1.035183
authored,0.570833,0.419897,1.037892
authored,0.575000,0.422611,1.040601
authored,0.579167,0.425406,1.043388
authored,0.583333,0.428201,1.046174
authored,0.587500,0.431018,1.048982
authored,0.591667,0.433836,1.051789
authored,0.595833,0.436619,1.054561
authored,0.600000,0.439402,1.057332
authored,0.604167,0.442094,1.060011
authored,0.608333,0.444787,1.062690
authored,0.612500,0.447333,1.065222
authored,0.616667,0.449879,1.067753
authored,0.620833,0.452228,1.070086
authored,0.625000,0.454576,1.072419
authored,0.629167,0.456679,1.074506
authored,0.633333,0.458782,1.076592
authored,0.637500,0.460597,1.078391
authored,0.641667,0.462412,1.080189
authored,0.645833,0.463901,1.081662
authored,0.650000,0.465391,1.083134
authored,0.654167,0.466525,1.084252
authored,0.658333,0.467658,1.085369
authored,0.662500,0.468414,1.086109
authored,0.666667,0.469169,1.086849
authored,0.670833,0.469530,1.087195
authored,0.675000,0.469891,1.087542
authored,0.679167,0.469851,1.087488
authored,0.683333,0.469811,1.087435
authored,0.687500,0.469370,1.086981
authored,0.691667,0.468929,1.086529
authored,0.695833,0.468097,1.085686
authored,0.700000,0.467264,1.084844
authored,0.704167,0.466057,1.083629
authored,0.708333,0.464850,1.082416
authored,0.712500,0.463293,1.080854
authored,0.716667,0.461736,1.079293
authored,0.720833,0.459860,1.077414
authored,0.725000,0.457985,1.075535
authored,0.729167,0.455829,1.073376
authored,0.733333,0.453673,1.071216
moving,0.000000,0.457665,1.075215
moving,0.004167,0.455509,1.073056
moving,0.008333,0.453319,1.070862
moving,0.012500,0.450927,1.068474
moving,0.016667,0.448507,1.066058
moving,0.020833,0.445927,1.063481
moving,0.025000,0.443327,1.060885
moving,0.029167,0.440613,1.058174
moving,0.033333,0.437886,1.055453
moving,0.037500,0.435091,1.052664
moving,0.041667,0.432293,1.049875
moving,0.045833,0.429476,1.047067
moving,0.050000,0.426663,1.044265
moving,0.054167,0.423880,1.041493
moving,0.058333,0.421110,1.038736
moving,0.062500,0.418418,1.036057
moving,0.066667,0.415747,1.033400
moving,0.070833,0.413201,1.030868
moving,0.075000,0.410684,1.028366
moving,0.079167,0.408336,1.026033
moving,0.083333,0.406023,1.023737
moving,0.087500,0.403920,1.021650
moving,0.091667,0.401860,1.019606
moving,0.095833,0.400045,1.017808
moving,0.100000,0.398278,1.016058
moving,0.104167,0.396789,1.014585
moving,0.108333,0.395352,1.013165
moving,0.112500,0.394218,1.012047
moving,0.116667,0.393140,1.010985
moving,0.120833,0.392385,1.010246
moving,0.125000,0.391688,1.009565
moving,0.129167,0.391327,1.009219
moving,0.133333,0.391026,1.008931
moving,0.137500,0.391066,1.008985
moving,0.141667,0.391165,1.009097
moving,0.145833,0.391606,1.009550
moving,0.150000,0.392105,1.010060
moving,0.154167,0.392937,1.010903
moving,0.158333,0.393825,1.011800
moving,0.162500,0.395032,1.013016
moving,0.166667,0.396291,1.014282
moving,0.170833,0.397848,1.015845
moving,0.175000,0.399453,1.017454
moving,0.179167,0.401328,1.019334
moving,0.183333,0.403245,1.021254
moving,0.187500,0.405401,1.023411
moving,0.191667,0.407592,1.025602
moving,0.195833,0.409984,1.027994
moving,0.200000,0.412404,1.030412
moving,0.204167,0.414983,1.032988
moving,0.208333,0.417583,1.035583
moving,0.212500,0.420298,1.038293
moving,0.216667,0.423024,1.041013
moving,0.220833,0.425819,1.043800
moving,0.225000,0.428617,1.046589
moving,0.229167,0.431435,1.049397
moving,0.233333,0.434247,1.052199
moving,0.237500,0.437030,1.054971
moving,0.241667,0.439800,1.057728
moving,0.245833,0.442492,1.060407
moving,0.250000,0.445163,1.063064
moving,0.254167,0.447709,1.065596
moving,0.258333,0.450226,1.068098
moving,0.262500,0.452575,1.070431
moving,0.266667,0.454887,1.072727
moving,0.270833,0.456990,1.074814
moving,0.275000,0.459050,1.076858
moving,0.279167,0.460865,1.078656
moving,0.283333,0.462632,1.080406
moving,0.287500,0.464121,1.081879
moving,0.291667,0.465558,1.083299
moving,0.295833,0.466692,1.084417
moving,0.300000,0.467770,1.085478
moving,0.304167,0.468525,1.086218
moving,0.308333,0.469222,1.086899
moving,0.312500,0.469583,1.087246
moving,0.316667,0.469885,1.087533
moving,0.320833,0.469844,1.087479
moving,0.325000,0.469745,1.087367
moving,0.329167,0.469304,1.086914
moving,0.333333,0.468805,1.086404
moving,0.337500,0.467973,1.085561
moving,0.341667,0.467085,1.084664
moving,0.345833,0.465878,1.083449
moving,0.350000,0.464619,1.082182
moving,0.354167,0.463062,1.080619
moving,0.358333,0.461458,1.079009
moving,0.362500,0.459582,1.077130
moving,0.366667,0.457665,1.075210
moving,0.370833,0.455509,1.073053
moving,0.375000,0.453319,1.070861
moving,0.379167,0.450926,1.068470
moving,0.383333,0.448507,1.066052
moving,0.387500,0.445927,1.063476
moving,0.391667,0.443327,1.060881
moving,0.395833,0.440612,1.058171
moving,0.400000,0.437886,1.055451
moving,0.404167,0.435091,1.052664
moving,0.408333,0.432293,1.049875
moving,0.412500,0.429475,1.047066
moving,0.416667,0.426663,1.044265
moving,0.420833,0.423880,1.041493
moving,0.425000,0.421110,1.038736
moving,0.429167,0.418418,1.036057
moving,0.433333,0.415747,1.033400
moving,0.437500,0.413201,1.030868
moving,0.441667,0.410684,1.028366
moving,0.445833,0.408335,1.026033
moving,0.450000,0.406023,1.023737
moving,0.454167,0.403920,1.021650
moving,0.458333,0.401860,1.019606
moving,0.462500,0.400045,1.017808
moving,0.466667,0.398278,1.016058
moving,0.470833,0.396789,1.014585
moving,0.475000,0.395352,1.013165
moving,0.479167,0.394218,1.012047
moving,0.483333,0.393140,1.010985
moving,0.487500,0.392385,1.010246
moving,0.491667,0.391688,1.009565
moving,0.495833,0.391327,1.009218
moving,0.500000,0.391026,1.008931
moving,0.504167,0.391066,1.008985
moving,0.508333,0.391165,1.009097
moving,0.512500,0.391606,1.009550
moving,0.516667,0.392105,1.010060
moving,0.520833,0.392937,1.010903
moving,0.525000,0.393825,1.011800
moving,0.529167,0.395032,1.013016
moving,0.533333,0.396291,1.014282
moving,0.537500,0.397848,1.015845
moving,0.541667,0.399453,1.017454
moving,0.545833,0.401328,1.019334
moving,0.550000,0.403245,1.021254
moving,0.554167,0.405401,1.023411
moving,0.558333,0.407592,1.025602
moving,0.562500,0.409984,1.027994
moving,0.566667,0.412404,1.030411
moving,0.570833,0.414983,1.032988
moving,0.575000,0.417583,1.035583
moving,0.579167,0.420298,1.038293
moving,0.583333,0.423024,1.041013
moving,0.587500,0.425819,1.043800
moving,0.591667,0.428617,1.046589
moving,0.595833,0.431435,1.049397
moving,0.600000,0.434247,1.052199
moving,0.604167,0.437030,1.054971
moving,0.608333,0.439800,1.057728
moving,0.612500,0.442492,1.060408
moving,0.616667,0.445163,1.063064
moving,0.620833,0.447709,1.065596
moving,0.625000,0.450226,1.068098
moving,0.629167,0.452575,1.070431
moving,0.633333,0.454887,1.072727
moving,0.637500,0.456990,1.074814
moving,0.641667,0.459050,1.076858
moving,0.645833,0.460865,1.078656
moving,0.650000,0.462632,1.080406
moving,0.654167,0.464121,1.081879
moving,0.658333,0.465558,1.083299
moving,0.662500,0.466692,1.084417
moving,0.666667,0.467770,1.085478
moving,0.670833,0.468525,1.086218
moving,0.675000,0.469222,1.086899
moving,0.679167,0.469583,1.087246
moving,0.683333,0.469885,1.087533
moving,0.687500,0.469844,1.087479
moving,0.691667,0.469745,1.087367
moving,0.695833,0.469304,1.086914
moving,0.700000,0.468805,1.086404
moving,0.704167,0.467973,1.085561
moving,0.708333,0.467085,1.084664
moving,0.712500,0.465878,1.083449
moving,0.716667,0.464619,1.082184
moving,0.720833,0.463062,1.080623
moving,0.725000,0.461458,1.079014
moving,0.729167,0.459582,1.077136
moving,0.733333,0.457665,1.075215
